title,description,url,published_at,source,categories,sentiment,political_orientation
Antisemitism watchdog issues scathing 'alarm bell' report on Mamdani as NYC election nears,"FIRST ON FOX: Fox News Digital exclusively spoke with the antisemitism research institute that released an 11th hour comprehensive report that summarized its concerns about New York City socialist mayoral candidate Zohran Mamdani. With just hours to go before Election Day, the report underscores the ...",https://www.foxnews.com/politics/antisemitism-watchdog-issues-scathing-alarm-bell-report-mamdani-nyc-election-nears,2025-11-03,Fox News,Controversy,Negative,right
Trump tells '60 Minutes' it would be 'hard' to send money to New York City if Mamdani won,"President Donald Trump remarked on CBS ""60 Minutes"" Sunday that it would be ""hard"" to continue funding New York City if Zohran Mamdani was elected mayor. President Donald Trump shared his thoughts on the New York City mayoral race in a special interview with CBS' ""60 Minutes"" on Sunday. CBS News' ...",https://www.foxnews.com/media/trump-tells-60-minutes-would-hard-send-money-new-york-city-mamdani-won,2025-11-03,Fox News,Controversy,Negative,right
"Washington Post rails against Mamdani as radical, inexperienced ahead of election","""Saturday Night Live"" took aim at Zohran Mamdani, Curtis Sliwa and Andrew Cuomo on Saturday in a parody New York City mayoral debate sketch. The Washington Post lit into the Democratic New York City mayoral candidate Zohran Mamdani in a new editorial, accusing him of offering up ""failed social ...",https://www.foxnews.com/media/washington-post-rails-against-mamdani-radical-inexperienced-ahead-election,2025-11-03,Fox News,Controversy,Negative,right
Cuomo gains ground as viral 'Would You Hire Zohran?' video shows NYC businesses rejecting socialist candidate,"New York City Democratic mayoral nominee Zohran Mamdani vowed to fight back against the Trump administration if elected mayor on Tuesday. The CEO of a production company is leveraging the power of social media to reach untapped audiences, aiming to engage young voters and better inform them about ...",https://www.foxnews.com/politics/cuomo-gains-ground-viral-would-you-hire-zohran-video-shows-nyc-businesses-rejecting-socialist-candidate,2025-11-03,Fox News,Controversy,Negative,right
Trump backs Cuomo and threatens to cut federal funding if 'Communist Mamdani' wins NYC mayor race,"Elisha Wiesel, the son of Holocaust survivors, reveals why the New York City mayoral race is very important on 'The Story.' President Donald Trump publicly endorsed Andrew Cuomo on Monday while threatening to withhold federal funding from New York City if Zohran Mamdani, who he labeled a ...",https://www.foxnews.com/politics/trump-threatens-cut-federal-funding-communist-mamdani-wins-nyc-mayor-race-against-cuomo,2025-11-03,Fox News,Controversy,Negative,right
Elon Musk Says To Vote For Andrew Cuomo In New York Mayoral Race—And Takes Jab At Zohran Mamdani,"Musk is one of several billionaires who have rallied against Zohran Mamdani, who is leading in polls.",https://www.forbes.com/sites/antoniopequenoiv/2025/11/03/elon-musk-says-to-vote-for-andrew-cuomo-in-new-york-mayoral-race-and-takes-jab-at-zohran-mamdani/,2025-11-03,Forbes,Controversy,Negative,center
"Cuomo says Trump will deploy National Guard, slash NYC funds if Mamdani wins mayor's race","Former Gov. Andrew Cuomo criticized Zohran Mamdani's leadership on Monday, and asserted that President Donald Trump would send the National Guard if the democratic socialist wins Tuesday. Former Gov. Andrew Cuomo warned voters in Manhattan's Washington Heights on Monday that President Donald Trump ...",https://www.foxnews.com/politics/cuomo-says-trump-deploy-national-guard-slash-nyc-funds-mamdani-wins-mayors-race,2025-11-03,Fox News,Controversy,Negative,right
"Trump: ""Hard for me"" to give money to NYC if ""communist"" Mamdani is mayor","Days before Election Day, the president told correspondent Norah O'Donnell that he would potentially withhold federal funds if front-runner Zohran Mamdani wins the election for NYC mayor.",https://www.cbsnews.com/news/trump-mamdani-cuomo-nyc-mayor-60-minutes-interview/,2025-11-03,CBS News,Controversy,Negative,left
Democratic Rep. Tom Suozzi explains why he's not backing Zohran Mamdani for NYC mayor,"Democratic Rep. Tom Suozzi of New York is backing Andrew Cuomo in the New York City mayoral race over Zohran Mamdani, the winner of the city's Democratic primary. Suozzi joins ""The Takeout"" to explain why.",https://www.cbsnews.com/video/tom-suozzi-explains-why-not-backing-zohran-mamdani-nyc-mayor/,2025-11-03,CBS News,Controversy,Negative,left
Trump endorses Andrew Cuomo on eve of New York mayoral election: 'You really have no choice',"The president endorsed Cuomo, who is running as an independent against Democratic nominee Zohran Mamdani, instead of Republican candidate Curtis Sliwa.",https://www.nbcnews.com/politics/elections/trump-endorses-andrew-cuomo-new-york-mayoral-election-sliwa-mamdani-rcna241736,2025-11-03,NBC News,Controversy,Negative,left
