title,description,url,published_at,source,categories,sentiment,political_orientation
Zohran Mamdani wants to make universal child care a reality in NYC,"NYC Mayor-elect Zohran Mamdani has called on the city to establish free, high-quality child care for children 6 weeks to 5 years old.",https://www.cbsnews.com/newyork/news/zohran-mamdani-new-york-city-universal-child-care/,2025-11-07,CBS News,Civil Policy,Neutral,left
Here are the DSA's demands to Mamdani for Israel-hating policies: leaked party document,"The Democratic Socialists of America have big plans for card-carrying NYC Mayor-elect Zohran Mamdani – especially when it comes to pushing its extreme, Israel-hating views on New Yorkers.",https://nypost.com/2025/11/08/us-news/heres-the-democratic-socialists-of-americas-demands-to-mamdani-for-how-to-lead-an-israel-hating-nyc/,2025-11-08,New York Post,Civil Policy,Negative,right
How could Zohran Mamdani pay for his bold agenda for New York? We broke it down - Yahoo News Canada,"Bold promises to make the city more affordable propelled New York City mayor-elect and democratic socialist Zohran Mamdani to his unlikely win on Tuesday. Among them: free buses, universal childcare and a massive expansion in low-cost housing. But making the city more affordable for residents is an ...",https://ca.news.yahoo.com/could-zohran-mamdani-pay-bold-130050194.html,2025-11-10,Yahoo,Civil Policy,Neutral,left
Free Bus Rides In New York: Governor Kathy Hochul Raises Doubts Over Zohran Mamdani's Poll Promise,Free Bus Rides In New York: Governor Kathy Hochul Raises Doubts Over Zohran Mamdani's Poll Promise,https://www.ndtvprofit.com/world/free-bus-rides-in-new-york-governor-kathy-hochul-raises-doubts-over-zohran-mamdanis-poll-promise,2025-11-11,Bloomberg,Civil Policy,Negative,center
NY governor pours cold water on Mamdani free bus plan,"Gov Kathy Hochul endorsed Zohran Mamdani two months ago but now questions funding plan at Puerto Rico conference NEWYou can now listen to Fox News articles! New York Gov. Kathy Hochul appeared to cast doubt on New York City Mayor-elect 's vision for free buses. Hochul, speaking at the Somos ...",https://www.foxnews.com/politics/ny-governor-pours-cold-water-mamdani-free-bus-plan,2025-11-11,Fox News,Civil Policy,Negative,right
Zohran Mamdani wants social workers responding to 911 calls — but test program is already failing,An audit of a pilot program could mean trouble for Mayor-elect Mamdani&#8217;s pricey Department of Community Safety Plan.,https://nypost.com/2025/11/13/us-news/zohran-mamdani-wants-social-workers-responding-to-911-calls-but-test-program-is-already-failing/,2025-11-13,New York Post,Civil Policy,Negative,right
Mayor-elect Zohran Mamdani lays out vision for universal child care in New York City,"New York City Mayor-elect Zohran Mamdani stopped by a child care center in Brooklyn on Thursday to outline one of his biggest campaign promises: universal child care. Mamdani has said over and over again that campaign promises are not slogans, they are promises, and he is doubling down on one of ...",https://www.yahoo.com/news/articles/mayor-elect-zohran-mamdani-lays-172808027.html,2025-11-14,Yahoo,Civil Policy,Positive,left
Zohran Mamdani campaigned on free buses in New York City. The governor is pumping the brakes.,"New York City Mayor-elect Zohran Mamdani may have to pump the brakes on his idea to make buses free in the Big Apple. Speaking to reporters during a news conference on Nov. 8, Gov. Kathy Hochul said she ""cannot set forth a plan right now that takes money out of a system that relies on the fares of ...",https://www.yahoo.com/news/articles/zohran-mamdani-campaigned-free-buses-004855059.html,2025-11-14,Yahoo,Civil Policy,Negative,left
Kathy Hochul Already Talking About Raising Taxes to Fund Zohran Mamdani's Plans,"New York City Mayor-elect Zohran Mamdani roared to a special election victory off the back of his lofty promises. Vows like fare-free public commute options, universal childcare, cheaper groceries, rent freezes, and better living conditions could sound great in a vacuum -- and clearly resonated ...",https://www.westernjournal.com/kathy-hochul-already-talking-raising-taxes-fund-zohran-mamdanis-plans/,2025-11-15,The Western Journal,Civil Policy,Negative,right
"Mamdani says he'll bring free child care to NYC. It's not easy, but is it possible?","Rebecca Bailin pays $32,000 a year for her five-month-old's all-day child care in New York City. That's higher than the national average, but not unusual. Many parents in the city and in other parts of the country can relate, as Care.com's 2025 Cost of Care Report found many parents spend 22% of ...",https://www.yahoo.com/news/articles/mamdani-says-hell-bring-free-103121464.html,2025-11-18,Yahoo,Civil Policy,Neutral,left
