title,description,url,published_at,source,categories,sentiment,political_orientation
LIZ PEEK: How the left's embrace of Mamdani could doom Democrats nationwide,"Fox News contributor Liz Peek joins 'Fox Report Weekend' to discuss New York mayoral candidate Zohran Mamdani's impact on the perception of the Democratic Party. Hakeem Jeffries has made it official: Zohran Mamdani, antisemitic socialist, is now the face of the Democratic Party. Democrats are in ...",https://www.foxnews.com/opinion/liz-peek-how-lefts-embrace-mamdani-could-doom-democrats-nationwide,2025-10-28,Fox News,Social Cause,Negative,right
DAVID MARCUS: Why Mamdani's tales of Islamophobia don't matter even if they're true,"Zohran Mamdani's final pitch to be mayor of New York City is a cynical, divisive, and frankly, just flat-out false accusation that Gotham is a hotbed of vile Islamophobia. In a word, it is nonsense. So far, Mamdani has told two personal stories about alleged anti-Muslim hate in New York, most ...",https://www.foxnews.com/opinion/david-marcus-why-mamdanis-tales-islamophobia-dont-matter-even-theyre-true,2025-10-30,Fox News,Social Cause,Negative,right
Opinion - Treatment of Mamdani shows Islamophobia is still socially acceptable,Broad societal Islamophobia analysis...,https://www.aol.com/articles/opinion-treatment-mamdani-shows-islamophobia-170000962.html,2025-11-01,AOL,Social Cause,Neutral,left
Sharpton blasts 'ugly Islamophobia' in NYC mayor race as Mamdani attacks Trump on welfare cuts,Addresses broad Islamophobia + campaign attack lines...,https://www.foxnews.com/politics/sharpton-blasts-ugly-islamophobia-nyc-mayor-race-mamdani-attacks-trump-welfare-cuts,2025-11-01,Fox News,Social Cause,Neutral,right
"Muslim Voters Feel Pride and Fear, for Both Mamdani and Themselves","After an uptick in Islamophobic comments about Zohran Mamdani, the Democratic nominee for mayor of New York City, some Muslims say they are hopeful but worried about repercussions.",https://www.nytimes.com/2025/11/01/nyregion/muslim-voters-mamdani.html,2025-11-01,The New York Times,Social Cause,Neutral,left
Sharpton blasts Islamophobic hate speech in mayoral race as Mamdani courts Black voters,"NEW YORK -- The Rev. Al Sharpton blasted what he called Islamophobic hate speech in the city's race for mayor as Muslim Democratic front-runner Assemblyman Zohran Mamdani made a campaign stop in Harlem on Saturday, claiming divisive language will only pit New Yorkers ""against each other."" ""I am ...",https://ca.news.yahoo.com/sharpton-blasts-islamophobic-hate-speech-220600325.html,2025-11-01,Yahoo,Social Cause,Neutral,left
'I hate my choices': How Zohran Mamdani's run for mayor has split Jews in New York and elsewhere,"As a Jew and a New Yorker, Norman Needleman said he finds the city's mayoral election ""painful."" Waiting in line Friday to vote on Manhattan's Upper West Side, the 77-year-old Needleman thought Zohran Mamdani, the 34-year-old democratic socialist, would be good for the city's social needs. But his ...",https://edition.cnn.com/2025/11/02/politics/zohran-mamdani-jewish-vote,2025-11-02,CNN,Social Cause,Neutral,left
Linda Sarsour tells followers she will 'hold Zohran accountable' if Mamdani wins NYC mayoral race,"New York City Democratic mayoral nominee Zohran Mamdani tells Fox News Digital his closing argument on his key issue heading into Election Day. Palestinian-American activist Linda Sarsour issued a thinly veiled warning Saturday night to New York City mayoral front-runner Zohran Mamdani, saying she ...",https://www.foxnews.com/politics/linda-sarsour-tells-followers-she-hold-zohran-accountable-mamdani-wins-nyc-mayoral-race,2025-11-03,Fox News,Social Cause,Neutral,right
Jews Especially are Weighing Mamdani’s Rhetoric,"By Halie Soifer NEW YORK — There’s an election on Tuesday that has captured the attention of nearly every American Jew – the mayoral race in New York City. Since New York Assemblyman Zohran Mamdani’s overwhelming victory in the primary, I have echoed the deeply held concerns of many Jewish Americans about Mamdani’s positions on [&#8230;]The post Jews Especially are Weighing Mamdani’s Rhetoric appeared first on The Moderate Voice.",https://themoderatevoice.com/jews-especially-are-weighing-mamdanis-rhetoric/,2025-11-03,The Moderate Voice,Social Cause,Neutral,center
"In Uganda, where Zohran Mamdani was born, NYC mayoral hopeful is recalled with pride","Zohran Mamdani is leading the New York City mayor's race, and people in his native Uganda say they are watching with pride",https://abcnews.go.com/International/wireStory/uganda-zohran-mamdani-born-nyc-mayoral-hopeful-recalled-127128135,2025-11-03,ABC News,Social Cause,Positive,left
"Zohran Mamdani makes history -- and strikes a chord among Muslims, South Asians",Democrat Zohran Mamdani's projected victory as New York City’s first Muslim and South Asian mayor marks a historic moment.,https://abcnews.go.com/Politics/zohran-mamdani-makes-history-strikes-chord-muslims-south/story?id=126909531,2025-11-05,ABC News,Social Cause,Positive,left
"Zohran Mamdani and London's Muslim mayor, Sadiq Khan, have much in common, but also key differences","As a left-leaning Muslim politician, London Mayor Sadiq Khan shares similarities with New York Mayor-elect Zohran Mamdani",https://abcnews.go.com/International/wireStory/zohran-mamdani-londons-muslim-mayor-sadiq-khan-common-127285093,2025-11-07,ABC News,Social Cause,Neutral,left
CARRIE LUKAS: Women And Their Risky Bet On Mamdani,"Carrie Lukas Carrie L. Lukas is the president of the Independent Women's Forum. New York City women overwhelmingly voted for Mayor-elect Zohran Mamdani. Undoubtedly, his emphasis on affordability resonated with women struggling to afford childcare, groceries, and energy bills. Many likely found his ...",https://dailycaller.com/2025/11/16/opinion-women-and-their-risky-bet-on-mamdani-carrie-lukas/,2025-11-16,The Daily Caller,Social Cause,Negative,right
Eric Adams Warns Israelis That Jews Might Not Be Safe in NYC After Mamdani Win: 'I Would Be Concerned Right Now',"Outgoing New York City Mayor Eric Adams said Jewish residents of the city should be nervous as far-left Democrat Zohran Mamdani succeeds him. ""If I was a Jewish New Yorker with children, I would be concerned right now,"" he said in an interview with the Forward. ""I think this is a period where they ...",https://www.westernjournal.com/eric-adams-warns-israelis-jews-might-not-safe-nyc-mamdani-win-concerned-right-now/,2025-11-18,The Western Journal,Social Cause,Negative,right
